p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
SELL	1.27367993956356e-36	0.967097050571221	0.374	0.047	2.47259486667474e-32	CD4+ Tcm	SELL
LTB	3.76499852014676e-30	1.23485324244084	0.697	0.227	7.30899162716091e-26	CD4+ Tcm	LTB
LAIR2	2.29131071871903e-27	0.766917729561599	0.253	0.027	4.44812149824925e-23	CD4+ Tcm	LAIR2
TNFRSF25	6.75827647763711e-22	0.868179157853078	0.343	0.066	1.31198421260369e-17	CD4+ Tcm	TNFRSF25
CD27	7.05785817663551e-22	0.871207108994114	0.364	0.074	1.37014200783025e-17	CD4+ Tcm	CD27
TRAC	1.28247941582681e-19	0.834882196311609	0.808	0.352	2.48967728994458e-15	CD4+ Tcm	TRAC
TNFRSF4	1.21782281689095e-18	0.905939919489143	0.364	0.088	2.36415943443041e-14	CD4+ Tcm	TNFRSF4
CLEC2D	1.98126089851022e-18	0.996120735692521	0.697	0.299	3.84622178227789e-14	CD4+ Tcm	CLEC2D
CCR7	5.06220726309782e-18	0.838752750737614	0.455	0.134	9.8272629598518e-14	CD4+ Tcm	CCR7
FYB1	5.96657395572228e-18	0.82985808562317	0.788	0.407	1.15829100202437e-13	CD4+ Tcm	FYB1
TIGIT	3.46880842359945e-17	0.867679032741176	0.273	0.055	6.73399779273361e-13	CD4+ Tcm	TIGIT
ICOS	4.06912107499102e-17	0.765851418702128	0.455	0.134	7.89938474288006e-13	CD4+ Tcm	ICOS
FCMR	1.01726826147547e-16	0.712171832058669	0.293	0.064	1.97482287600233e-12	CD4+ Tcm	FCMR
GATA3	4.90163285574759e-16	0.667384815031818	0.323	0.077	9.51553986286279e-12	CD4+ Tcm	GATA3
SPOCK2	8.17111706363905e-16	0.721256363342458	0.596	0.233	1.58625895556425e-11	CD4+ Tcm	SPOCK2
IL7R	2.06713411286e-14	0.660453606102971	0.828	0.451	4.01292745329511e-10	CD4+ Tcm	IL7R
ARID5B	6.21479801021813e-14	0.886088688241526	0.646	0.316	1.20647873772365e-09	CD4+ Tcm	ARID5B
EVL	8.19612682178272e-13	0.826776409827003	0.667	0.373	1.59111409991268e-08	CD4+ Tcm	EVL
TSC22D3	1.89221801684506e-12	0.692522523681522	0.939	0.797	3.67336283610131e-08	CD4+ Tcm	TSC22D3
CD28	3.05813642955302e-12	0.565510336383632	0.263	0.065	5.93676025069127e-08	CD4+ Tcm	CD28
RHOH	8.69938294704617e-12	0.637572472632188	0.545	0.242	1.68881121151007e-07	CD4+ Tcm	RHOH
TBC1D4	3.02490890788433e-11	0.693575376459804	0.273	0.081	5.87225566287584e-07	CD4+ Tcm	TBC1D4
BCL11B	3.51345355775596e-11	0.476474157367651	0.566	0.232	6.82066739167164e-07	CD4+ Tcm	BCL11B
RORA	5.29250320152198e-11	0.683330719782745	0.576	0.273	1.02743364651146e-06	CD4+ Tcm	RORA
PIK3IP1	7.68344461236255e-11	0.730380198383469	0.556	0.265	1.49158710259794e-06	CD4+ Tcm	PIK3IP1
KLF2	1.22549561380634e-10	0.792338742239161	0.485	0.23	2.37905463508225e-06	CD4+ Tcm	KLF2
SH2D1A	3.8072037590182e-10	0.428060913029517	0.263	0.074	7.39092465738203e-06	CD4+ Tcm	SH2D1A
RPL4	4.00152664562214e-10	0.43512954815649	0.848	0.885	7.76816367714626e-06	CD4+ Tcm	RPL4
CCR6	4.22842264885836e-10	0.768387416237482	0.333	0.12	8.20863688822874e-06	CD4+ Tcm	CCR6
PBXIP1	5.35769447938583e-10	0.695967459625193	0.424	0.182	1.04008922928317e-05	CD4+ Tcm	PBXIP1
P2RY10	7.28857666210649e-10	0.571178568443445	0.414	0.169	1.41493138741473e-05	CD4+ Tcm	P2RY10
IL2RG	7.95328331546187e-10	0.708284978414755	0.586	0.329	1.54397089003061e-05	CD4+ Tcm	IL2RG
SARAF	8.04881012215217e-10	0.462829846625875	0.859	0.818	1.5625155090134e-05	CD4+ Tcm	SARAF
CD3E	1.17421064956787e-09	0.397031672684599	0.657	0.306	2.27949513400611e-05	CD4+ Tcm	CD3E
LINC-PINT	1.29138097450689e-09	0.61048896780083	0.859	0.617	2.50695788581023e-05	CD4+ Tcm	LINC-PINT
TRBC2	1.69667318633777e-09	0.542708936205208	0.616	0.316	3.29375165663752e-05	CD4+ Tcm	TRBC2
HLA-A	2.21031316993439e-09	0.585444144058278	0.97	0.956	4.29088095679362e-05	CD4+ Tcm	HLA-A
KLRB1	3.47112522755164e-09	0.561644202519522	0.455	0.194	6.73849540424599e-05	CD4+ Tcm	KLRB1
TRBC1	6.8135071199122e-09	0.906179253109546	0.434	0.196	0.000132270613718856	CD4+ Tcm	TRBC1
CYTIP	1.49301654050233e-08	0.553993422940495	0.646	0.412	0.000289839301007717	CD4+ Tcm	CYTIP
ICAM3	1.80213724003099e-08	0.55856026710104	0.495	0.253	0.000349848902407217	CD4+ Tcm	ICAM3
CD3D	1.91690739997738e-08	0.3773194963074	0.707	0.375	0.000372129233557609	CD4+ Tcm	CD3D
TRAT1	2.0950770772619e-08	0.568375543155921	0.313	0.115	0.000406717313008853	CD4+ Tcm	TRAT1
RPS29	3.02883740075593e-08	0.307411739730718	0.909	0.975	0.000587988204608749	CD4+ Tcm	RPS29
SF1	3.57670967815816e-08	0.488344123615672	0.727	0.512	0.000694346649820843	CD4+ Tcm	SF1
BTG1	5.86642443951511e-08	0.367388446037014	0.97	0.929	0.00113884897644307	CD4+ Tcm	BTG1
RPSA	6.26282401243929e-08	0.379058422694556	0.838	0.903	0.00121580202553484	CD4+ Tcm	RPSA
TNFAIP8	8.13968930533287e-08	0.507211687881002	0.414	0.206	0.00158015788484427	CD4+ Tcm	TNFAIP8
CD48	9.39171336106352e-08	0.503902344489922	0.646	0.395	0.00182321331478326	CD4+ Tcm	CD48
APOLD1	9.49759131026898e-08	0.46811929891932	0.263	0.093	0.00184376740106252	CD4+ Tcm	APOLD1
CXCR4	9.74299031842502e-08	0.419268128427583	0.939	0.725	0.00189140671051585	CD4+ Tcm	CXCR4
SC5D	9.99355671085679e-08	0.474198927245606	0.424	0.204	0.00194004916427863	CD4+ Tcm	SC5D
AC114760.2	1.26862626855316e-07	0.722652234230722	0.556	0.309	0.00246278417514224	CD4+ Tcm	AC114760.2
IKZF1	1.58999292279435e-07	0.580826825237968	0.475	0.246	0.00308665326102067	CD4+ Tcm	IKZF1
GIMAP7	1.929626275492e-07	0.492899258558212	0.323	0.131	0.00374598348861263	CD4+ Tcm	GIMAP7
RPL13	2.03040215605939e-07	0.286271077111009	0.929	0.984	0.00394161970555809	CD4+ Tcm	RPL13
BIRC3	2.1505621173186e-07	0.373479135524237	0.758	0.498	0.0041748862383506	CD4+ Tcm	BIRC3
STK4	2.15845535835833e-07	0.612526309084002	0.687	0.471	0.00419020938718103	CD4+ Tcm	STK4
S1PR4	2.33823995661795e-07	0.512417646808389	0.364	0.165	0.00453922522778243	CD4+ Tcm	S1PR4
